codigo,descricao,cod_descricao
11377,Inadmissibilidade Do Procedimento Sumaríssimo,11377:Inadmissibilidade Do Procedimento Sumaríssimo
12067,Levantamento Da Suspensão Ou Dessobrestamento,12067:Levantamento Da Suspensão Ou Dessobrestamento
12068,Levantamento Da Suspensão Ou Dessobrestamento,12068:Levantamento Da Suspensão Ou Dessobrestamento
265,Recurso Extraordinário Com Repercussão Geral,265:Recurso Extraordinário Com Repercussão Geral
12093,Desafetação Ao Rito Dos Recursos Repetitivos ,12093:Desafetação Ao Rito Dos Recursos Repetitivos 
12655,Identificada Possível Dissidência Partidária,12655:Identificada Possível Dissidência Partidária
12330,Pedido Conhecido Em Parte E Procedente Em Parte,12330:Pedido Conhecido Em Parte E Procedente Em Parte
12792,Procedência Da Impugnação (Registro Cassado),12792:Procedência Da Impugnação (Registro Cassado)
1018,Transferência Para Outro Estabelecimento Penal,1018:Transferência Para Outro Estabelecimento Penal
871,Acolhimento Em Parte De Embargos De Declaração,871:Acolhimento Em Parte De Embargos De Declaração
11380,Autor Falecido E Sem Habilitação De Sucessores,11380:Autor Falecido E Sem Habilitação De Sucessores
12660,Deferimento Do Pedido De Registro De Candidatura,12660:Deferimento Do Pedido De Registro De Candidatura
12095,Incidente De Resolução De Demandas Repetitivas,12095:Incidente De Resolução De Demandas Repetitivas
12665,Procedência Da Impugnação (Registro Deferido),12665:Procedência Da Impugnação (Registro Deferido)
12666,Procedência Da Impugnação (Registro Deferido),12666:Procedência Da Impugnação (Registro Deferido)
12622,Remessa Para Câmara De Conciliação/Mediação,12622:Remessa Para Câmara De Conciliação/Mediação
12734,Revogação Do Acordo De Não Persecução Penal,12734:Revogação Do Acordo De Não Persecução Penal
12708,Anulação De Acórdão (Registro Sem Julgamento),12708:Anulação De Acórdão (Registro Sem Julgamento)
12714,Anulação De Acórdão (Registro Sem Julgamento),12714:Anulação De Acórdão (Registro Sem Julgamento)
12663,Cancelamento Do Pedido De Registro De Candidatura,12663:Cancelamento Do Pedido De Registro De Candidatura
11411,Cumprimento Da Suspensão Condicional Do Processo,11411:Cumprimento Da Suspensão Condicional Do Processo
12422,Devolução Da Carta Rogatória Ao Juízo Rogante,12422:Devolução Da Carta Rogatória Ao Juízo Rogante
12098,Incidente De Resolução De Demandas Repetitivas ,12098:Incidente De Resolução De Demandas Repetitivas 
12101,Inclusão Do Processo Para Julgamento Eletrônico,12101:Inclusão Do Processo Para Julgamento Eletrônico
12105,Inclusão Do Processo Para Julgamento Eletrônico,12105:Inclusão Do Processo Para Julgamento Eletrônico
12724,Negação De Seguimento (Registro Sem Julgamento),12724:Negação De Seguimento (Registro Sem Julgamento)
12109,Para Análise Da Admissão Do Recurso Repetitivo ,12109:Para Análise Da Admissão Do Recurso Repetitivo 
12110,Para Análise Da Admissão Do Recurso Repetitivo ,12110:Para Análise Da Admissão Do Recurso Repetitivo 
12677,Procedência Da Impugnação (Registro Cancelado),12677:Procedência Da Impugnação (Registro Cancelado)
11795,Procedência Do Pedido - Reconhecimento Pelo Réu,11795:Procedência Do Pedido - Reconhecimento Pelo Réu
12737,Revogação Da Suspensão Condicional Do Processo,12737:Revogação Da Suspensão Condicional Do Processo
12733,Homologação Do Acordo De Não Persecução Penal,12733:Homologação Do Acordo De Não Persecução Penal
12259,"Prescrição Intercorrente (Art. 921, § 4º, Cpc)","12259:Prescrição Intercorrente (Art. 921, § 4º, Cpc)"
12667,Procedência Da Impugnação (Registro Indeferido),12667:Procedência Da Impugnação (Registro Indeferido)
12623,Recebimento De Câmara De Conciliação/Mediação,12623:Recebimento De Câmara De Conciliação/Mediação
377,Acordo Em Execução Ou Em Cumprimento De Sentença,377:Acordo Em Execução Ou Em Cumprimento De Sentença
12436,Conhecimento Para Não Conhecer Do Recurso Especial,12436:Conhecimento Para Não Conhecer Do Recurso Especial
12478,Medida Protetiva Determinada Por Autoridade Policia,12478:Medida Protetiva Determinada Por Autoridade Policia
12479,Medida Protetiva Determinada Por Autoridade Policia,12479:Medida Protetiva Determinada Por Autoridade Policia
