codigo,descricao,cod_descricao
10560,Quebra De Sigilo Bancário,10560:Quebra De Sigilo Bancário
10607,Quebra Do Sigilo Bancário,10607:Quebra Do Sigilo Bancário
10319,Reajuste Da Lei 8.270/1991,10319:Reajuste Da Lei 8.270/1991
12861,Relações Étnico-Raciais,12861:Relações Étnico-Raciais
12585,Reversão De Desfiliação,12585:Reversão De Desfiliação
6120,Rmi - Renda Mensal Inicial,6120:Rmi - Renda Mensal Inicial
10698,Serventuários Da Justiça,10698:Serventuários Da Justiça
5981,Substituição Tributária,5981:Substituição Tributária
10799,Sustação Da Diplomação,10799:Sustação Da Diplomação
5960,Taxa De Despacho Aduaneiro,5960:Taxa De Despacho Aduaneiro
5967,Taxa De Saúde Suplementar,5967:Taxa De Saúde Suplementar
5299,Trabalhadores Em Petróleo,5299:Trabalhadores Em Petróleo
10500,Usucapião Da L 6.969/1981,10500:Usucapião Da L 6.969/1981
10458,Usucapião Extraordinária,10458:Usucapião Extraordinária
11286,Violência Contra Inferior,11286:Violência Contra Inferior
11276,Violência Contra Superior,11276:Violência Contra Superior
10345,Índice Do Ipc  Junho/1987,10345:Índice Do Ipc  Junho/1987
11718,Abuso - De Poder Econômico,11718:Abuso - De Poder Econômico
10292,Adicional De Periculosidade,10292:Adicional De Periculosidade
2604,Adicional De Transferência,2604:Adicional De Transferência
7676,Administração De Herança,7676:Administração De Herança
9882,Agrotóxicos (Lei 7.802/89),9882:Agrotóxicos (Lei 7.802/89)
6095,Aposentadoria Por Invalidez,6095:Aposentadoria Por Invalidez
3466,Atentado Violento Ao Pudor ,3466:Atentado Violento Ao Pudor 
6107,Auxílio-Acidente (Art. 86),6107:Auxílio-Acidente (Art. 86)
5940,Compensação De Prejuízos,5940:Compensação De Prejuízos
11585,Condição De Elegibilidade,11585:Condição De Elegibilidade
6032,Contribuições De Melhoria,6032:Contribuições De Melhoria
10999,Conversão Em Agravo Retido,10999:Conversão Em Agravo Retido
10067,Convênio Médico Com O Sus,10067:Convênio Médico Com O Sus
12512,Convênio Médico Com O Sus,12512:Convênio Médico Com O Sus
12462,Correição Extraordinária,12462:Correição Extraordinária
3415,Crimes Contra O Patrimônio,3415:Crimes Contra O Patrimônio
11078,Crimes Contra O Patrimônio,11078:Crimes Contra O Patrimônio
12023,Crimes Da Lei Geral Da Copa,12023:Crimes Da Lei Geral Da Copa
9627,Dependente De Autorização,9627:Dependente De Autorização
9612,Despejo Por Denúncia Vazia,9612:Despejo Por Denúncia Vazia
12852,Distorção De Série/Idade,12852:Distorção De Série/Idade
10051,Ensino Fundamental E Médio,10051:Ensino Fundamental E Médio
11340,Exercício Funcional Ilegal,11340:Exercício Funcional Ilegal
3593,Exploração De Prestígio ,3593:Exploração De Prestígio 
11322,Falsificação De Documento,11322:Falsificação De Documento
10071,Genética / Células Tronco,10071:Genética / Células Tronco
12520,Genética / Células Tronco,12520:Genética / Células Tronco
10290,Gratificação De Incentivo,10290:Gratificação De Incentivo
5942,Importação De Bens Usados,5942:Importação De Bens Usados
10470,Incorporação Imobiliária,10470:Incorporação Imobiliária
1855,Indenizaçao Por Dano Moral,1855:Indenizaçao Por Dano Moral
11816,Infrações Administrativas,11816:Infrações Administrativas
11488,Injúria Eleitoral Violenta,11488:Injúria Eleitoral Violenta
8859,Intervenção De Terceiros ,8859:Intervenção De Terceiros 
10939,Intimação / Notificação,10939:Intimação / Notificação
4291,Jurisdição E Competência,4291:Jurisdição E Competência
8828,Jurisdição E Competência,8828:Jurisdição E Competência
11053,Jurisdição E Competência,11053:Jurisdição E Competência
6005,Juros/Correção Monetária,6005:Juros/Correção Monetária
4975,Nota De Crédito Industrial,4975:Nota De Crédito Industrial
11280,Ofensa Aviltante A Inferior,11280:Ofensa Aviltante A Inferior
7705,Pagamento Com Sub-Rogação,7705:Pagamento Com Sub-Rogação
3660,Parcelamento Do Solo Urbano,3660:Parcelamento Do Solo Urbano
9910,Parcelamento Do Solo Urbano,9910:Parcelamento Do Solo Urbano
7791,Pena Privativa De Liberdade,7791:Pena Privativa De Liberdade
7790,Pena Restritiva De Direitos,7790:Pena Restritiva De Direitos
11097,Perda Do Posto E Da Patente,11097:Perda Do Posto E Da Patente
12571,Pluralidade De Inscrições,12571:Pluralidade De Inscrições
10137,Política De Preço Mínimo,10137:Política De Preço Mínimo
4994,Recuperação Extrajudicial,4994:Recuperação Extrajudicial
10026,Registro De Direito Autoral,10026:Registro De Direito Autoral
5805,Regulamentação De Visitas,5805:Regulamentação De Visitas
10957,Repasse De Verbas Públicas,10957:Repasse De Verbas Públicas
7783,Responsabilidade Contratual,7783:Responsabilidade Contratual
10489,Rural - Agrícola/Pecuário,10489:Rural - Agrícola/Pecuário
11840,Segurança Em Edificações,11840:Segurança Em Edificações
11124,Substituição De Convocado,11124:Substituição De Convocado
5987,Suspensão Da Exigibilidade,5987:Suspensão Da Exigibilidade
10034,Transferência De Estudante,10034:Transferência De Estudante
10355,Transferência Para Reserva,10355:Transferência Para Reserva
5856,Tráfico Interno De Pessoas,5856:Tráfico Interno De Pessoas
9754,Tráfico Interno De Pessoas,9754:Tráfico Interno De Pessoas
10890,Vício Formal Do Julgamento,10890:Vício Formal Do Julgamento
10710,Adicional De Etapa Alimentar,10710:Adicional De Etapa Alimentar
10331,"Adidos, Agregados E Adjuntos","10331:Adidos, Agregados E Adjuntos"
6004,Anulação De Débito Fiscal,6004:Anulação De Débito Fiscal
5975,Aquisição De Combustíveis,5975:Aquisição De Combustíveis
10867,Ausência De Fundamentação,10867:Ausência De Fundamentação
6105,Auxílio-Reclusão (Art. 80),6105:Auxílio-Reclusão (Art. 80)
10585,Capitalização / Anatocismo,10585:Capitalização / Anatocismo
9559,Classificação De Créditos,9559:Classificação De Créditos
11360,Comunicação Falsa De Crime,11360:Comunicação Falsa De Crime
9833,"Concussão (Art. 316, Caput)","9833:Concussão (Art. 316, Caput)"
9889,Contra As Telecomunicações,9889:Contra As Telecomunicações
9896,Contra O Mercado De Capitais,9896:Contra O Mercado De Capitais
9849,Contra Patente De Invenção,9849:Contra Patente De Invenção
6044,Contribuições Corporativas,6044:Contribuições Corporativas
