codigo,descricao,sigla,cod_descricao
1470,Prestação De Serviços A Comunidade,PrSeCo,1470:Prestação De Serviços A Comunidade
11533,Recurso Contra Expedição De Diploma,RCED,11533:Recurso Contra Expedição De Diploma
145,Suspensão De Execução De Sentença,SuExSe,145:Suspensão De Execução De Sentença
1314,Ação Direta De Inconstitucionalidade,ADI,1314:Ação Direta De Inconstitucionalidade
283,Ação Penal - Procedimento Ordinário,APOrd,283:Ação Penal - Procedimento Ordinário
1125,Ação Trabalhista - Rito Sumaríssimo,ATSum,1125:Ação Trabalhista - Rito Sumaríssimo
1463,Boletim De Ocorrência Circunstanciada,BoOcCi,1463:Boletim De Ocorrência Circunstanciada
294,Crimes Contra A Propriedade Industrial,CCPInd,294:Crimes Contra A Propriedade Industrial
12153,Embargos Parciais À Ação Monitória,EmbParcMonit,12153:Embargos Parciais À Ação Monitória
11026,Petição Infância E Juventude Cível,PetIJ,11026:Petição Infância E Juventude Cível
11886,Recurso Ordinário - Rito Sumaríssimo,RORSum,11886:Recurso Ordinário - Rito Sumaríssimo
1707,Reintegração / Manutenção De Posse,RtMtPosse,1707:Reintegração / Manutenção De Posse
12137,Requerimento De Apreensão De Veículo,ReqAV,12137:Requerimento De Apreensão De Veículo
143,Suprimento De Idade E/Ou Consentimento,SIEC,143:Suprimento De Idade E/Ou Consentimento
1455,Carta Precatória Infância E Juventude,CartPrecIJ,1455:Carta Precatória Infância E Juventude
295,Crimes Contra A Propriedade Intelectual,CCPInt,295:Crimes Contra A Propriedade Intelectual
173,Embargos De Retenção Por Benfeitorias,EmReBe,173:Embargos De Retenção Por Benfeitorias
1465,Execução De Medidas Sócio-Educativas,ExMeSo,1465:Execução De Medidas Sócio-Educativas
12251,Execução De Título Judicial - Cejusc,ExeJudCEJUSC,12251:Execução De Título Judicial - Cejusc
228,Exibição De Documento Ou Coisa Cível,ExDoCoCiv,228:Exibição De Documento Ou Coisa Cível
12087,Incidente De Assunção De Competência,IAC,12087:Incidente De Assunção De Competência
12791,Incidente De Assunção De Competência,IAC,12791:Incidente De Assunção De Competência
11799,Instrução Provisória De Insubmissão,InstProvIns,11799:Instrução Provisória De Insubmissão
12613,Pedido De Conciliação Pré-Processual,PCPP,12613:Pedido De Conciliação Pré-Processual
11891,Procedimento De Controle Administrativo,PCA,11891:Procedimento De Controle Administrativo
436,Procedimento Do Juizado Especial Cível,PJEC,436:Procedimento Do Juizado Especial Cível
12138,Requerimento De Reintegração De Posse,ReqRP,12138:Requerimento De Reintegração De Posse
10944,Ação Penal - Procedimento Sumaríssimo,APSumss,10944:Ação Penal - Procedimento Sumaríssimo
1438,Busca E Apreensão Infância E Juventude,BusAprIJ,1438:Busca E Apreensão Infância E Juventude
1440,Cautelar Inominada Infância E Juventude,CauInoIJ,1440:Cautelar Inominada Infância E Juventude
97,Dissolução E Liquidação De Sociedade,DiLiSo,97:Dissolução E Liquidação De Sociedade
991,Execução De Termo De Ajuste De Conduta,ExTAC,991:Execução De Termo De Ajuste De Conduta
12762,Extinção Consensual De União Estável,ECUE,12762:Extinção Consensual De União Estável
229,Impugnação Ao Cumprimento De Sentença,ImCuSe,229:Impugnação Ao Cumprimento De Sentença
305,Liberdade Provisória Com Ou Sem Fiança,LibProv,305:Liberdade Provisória Com Ou Sem Fiança
11976,Pedido De Busca E Apreensão Infracional,PedBusApreInfr,11976:Pedido De Busca E Apreensão Infracional
1706,Procedimento Comum Infância E Juventude,ProcComIJ,1706:Procedimento Comum Infância E Juventude
11793,Produção Antecipada De Provas Criminal,PAPCrim,11793:Produção Antecipada De Provas Criminal
11893,Reclamação Para Garantia Das Decisões,RGD,11893:Reclamação Para Garantia Das Decisões
12559,Regularização De Situação Do Eleitor,RSE,12559:Regularização De Situação Do Eleitor
11027,Remessa Necessária / Recurso Ordinário,RemNecRO,11027:Remessa Necessária / Recurso Ordinário
11036,Representação P/ Perda Da Graduação ,RPG,11036:Representação P/ Perda Da Graduação 
1122,Tutela E Curatela - Remoção E Dispensa,TCRD,1122:Tutela E Curatela - Remoção E Dispensa
11887,Acompanhamento De Cumprimento De Decisão,Cumprdec,11887:Acompanhamento De Cumprimento De Decisão
203,Agravo De Instrumento Em Recurso Especial,AIRE,203:Agravo De Instrumento Em Recurso Especial
1711,Agravo De Instrumento Em Recurso Especial,AIREsp,1711:Agravo De Instrumento Em Recurso Especial
11526,Ação De Impugnação De Mandato Eletivo,AIME,11526:Ação De Impugnação De Mandato Eletivo
1019,Embargos À Execução Em Medida Cautelar,EmbExecMC,1019:Embargos À Execução Em Medida Cautelar
11788,Exibição De Documento Ou Coisa Criminal,ExDoCoCrim,11788:Exibição De Documento Ou Coisa Criminal
12556,Impugnação Perante As Juntas Eleitorais,IpJE,12556:Impugnação Perante As Juntas Eleitorais
986,Inquérito Para Apuração De Falta Grave,IAFG,986:Inquérito Para Apuração De Falta Grave
153,Liquidação Provisória Por Arbitramento,LiPrAr,153:Liquidação Provisória Por Arbitramento
12357,Pedido De Efeito Suspensivo À Apelação,SuspApel,12357:Pedido De Efeito Suspensivo À Apelação
300,Procedimento Especial Da Lei Antitóxicos,PrEsAn,300:Procedimento Especial Da Lei Antitóxicos
1464,Processo De Apuração De Ato Infracional,PrApAtInfr,1464:Processo De Apuração De Ato Infracional
1046,Agravo Em Recurso De Mandado De Segurança,AgRMS,1046:Agravo Em Recurso De Mandado De Segurança
11953,Arguição De Suspeição E De Impedimento,ArgSusImp,11953:Arguição De Suspeição E De Impedimento
64,Ação Civil De Improbidade Administrativa,ACIA,64:Ação Civil De Improbidade Administrativa
1704,Embargos De Terceiro Infância E Juventude,ETIJ,1704:Embargos De Terceiro Infância E Juventude
1037,Embargos Infringentes Em Apelação Cível,EmbInfAC,1037:Embargos Infringentes Em Apelação Cível
210,Embargos Infringentes Na Execução Fiscal,EIfEFis,210:Embargos Infringentes Na Execução Fiscal
1018,Embargos À Execução Em Ação Recisoria,EmbExeAr,1018:Embargos À Execução Em Ação Recisoria
385,Execução Penal E De Medidas Alternativas,ExeCri,385:Execução Penal E De Medidas Alternativas
12230,Guarda C/C Destituição Do Poder Familiar,GuaDPF,12230:Guarda C/C Destituição Do Poder Familiar
12374,Homologação Da Transação Extrajudicial,HTE,12374:Homologação Da Transação Extrajudicial
112,Homologação De Transação Extrajudicial,HoTrEx,112:Homologação De Transação Extrajudicial
1025,Incidente De Deslocamento De Competência ,IDC,1025:Incidente De Deslocamento De Competência 
272,Representação Criminal/Notícia De Crime,RpCrNotCrim,272:Representação Criminal/Notícia De Crime
1399,Tutela C/C Destituição Do Poder Familiar,TDPF,1399:Tutela C/C Destituição Do Poder Familiar
1002,Agravo De Instrumento Em Recurso De Revista,AIRR,1002:Agravo De Instrumento Em Recurso De Revista
1003,Agravo De Instrumento Em Recurso Ordinário,AIRO,1003:Agravo De Instrumento Em Recurso Ordinário
1690,Ação Civil Pública Infância E Juventude,ACPIJ,1690:Ação Civil Pública Infância E Juventude
11527,Ação De Investigação Judicial Eleitoral,AIJE,11527:Ação De Investigação Judicial Eleitoral
1313,Ação Declaratória De Constitucionalidade,ADC,1313:Ação Declaratória De Constitucionalidade
12549,Cancelamento De Inscrição Eleitoral (Cie),CIE,12549:Cancelamento De Inscrição Eleitoral (Cie)
84,Cobrança De Cédula De Crédito Industrial,CCCI,84:Cobrança De Cédula De Crédito Industrial
1066,Embargos Infringentes Em Ação Rescisória,EmbInfAR,1066:Embargos Infringentes Em Ação Rescisória
992,Execução De Termo De Conciliação De Ccp,ExCCP,992:Execução De Termo De Conciliação De Ccp
1691,Mandado De Segurança Infância E Juventude,MSInfJuvCiv,1691:Mandado De Segurança Infância E Juventude
11890,Parecer De Mérito Sobre Anteprojeto De Lei,PAM,11890:Parecer De Mérito Sobre Anteprojeto De Lei
1425,Prestação De Contas Infância E Juventude,PreConIJ,1425:Prestação De Contas Infância E Juventude
1721,Recurso Ordinário Em Mandado De Segurança,ROMS,1721:Recurso Ordinário Em Mandado De Segurança
1412,Adoção C/C Destituição Do Poder Familiar,AdoDPF,1412:Adoção C/C Destituição Do Poder Familiar
1001,Agravo De Instrumento Em Agravo De Petição,AIAP,1001:Agravo De Instrumento Em Agravo De Petição
1126,Ação Trabalhista - Rito Sumário (Alçada),ATAlc,1126:Ação Trabalhista - Rito Sumário (Alçada)
11543,Criação De Zona Eleitoral Ou Remanejamento,CZER,11543:Criação De Zona Eleitoral Ou Remanejamento
1137,Embargos De Divergência Em Recurso Especial,EmbDivREsp,1137:Embargos De Divergência Em Recurso Especial
993,Execução De Certidão De Crédito Judicial,ExCCJ,993:Execução De Certidão De Crédito Judicial
10974,Incidente De Falsidade Infância E Juventude,IncFalIJ,10974:Incidente De Falsidade Infância E Juventude
59,Organização E Fiscalização De Fundação,OrFiFu,59:Organização E Fiscalização De Fundação
1288,Transferência Entre Estabelecimentos Penais,TEEP,1288:Transferência Entre Estabelecimentos Penais
12728,Transferência Entre Estabelecimentos Penais,TEEP,12728:Transferência Entre Estabelecimentos Penais
81,Busca E Apreensão Em Alienação Fiduciária,BAAF,81:Busca E Apreensão Em Alienação Fiduciária
11535,Cancelamento De Registro De Partido Político,CRPP,11535:Cancelamento De Registro De Partido Político
1016,Embargos De Divergência Em Agravo Regimental,EmbAI,1016:Embargos De Divergência Em Agravo Regimental
1432,Execução De Alimentos Infância E Juventude,ExeAliIJ,1432:Execução De Alimentos Infância E Juventude
994,Execução Provisória Em Autos Suplementares,ExProvAS,994:Execução Provisória Em Autos Suplementares
11534,Procedimentos Relativos A Partidos Políticos,PRPP,11534:Procedimentos Relativos A Partidos Políticos
11398,Recurso Em Sentido Estrito/Recurso Ex Officio,RSEExOf,11398:Recurso Em Sentido Estrito/Recurso Ex Officio
12557,Recurso/Impugnação De Alistamento Eleitoral,RIAE,12557:Recurso/Impugnação De Alistamento Eleitoral
51,"Abertura, Registro E Cumprimento De Testamento",ARCT,"51:Abertura, Registro E Cumprimento De Testamento"
976,Ação Anulatória De Cláusulas Convencionais,AACC,976:Ação Anulatória De Cláusulas Convencionais
11037,Ação Penal Militar - Procedimento Ordinário,APMOrd,11037:Ação Penal Militar - Procedimento Ordinário
10970,Conflito De Competência Infância E Juventude,CCIJ,10970:Conflito De Competência Infância E Juventude
10975,Exceção De Impedimento Infância E Juventude,ExcImpIJ,10975:Exceção De Impedimento Infância E Juventude
10977,Exceção De Suspeição Infância E Juventude,ExcSusIJ,10977:Exceção De Suspeição Infância E Juventude
1022,Execução Em Sentença Estrangeira Contestada,ExeSEC,1022:Execução Em Sentença Estrangeira Contestada
12386,Incidente De Impedimento Infância E Juventude,IncImpIJ,12386:Incidente De Impedimento Infância E Juventude
12388,Incidente De Suspeição Infância E Juventude,IncSusIJ,12388:Incidente De Suspeição Infância E Juventude
285,Processo Especial Do Código De Processo Penal,PECPP,285:Processo Especial Do Código De Processo Penal
12763,Reconhecimento E Extinção De União Estável,REUE,12763:Reconhecimento E Extinção De União Estável
1719,Avaliação Para Atestar Dependência De Drogas,AvalDep,1719:Avaliação Para Atestar Dependência De Drogas
87,Conversão De Separação Judicial Em Divórcio,CSJD,87:Conversão De Separação Judicial Em Divórcio
1017,Embargos À Execução Em Mandado De Segurança,EmbExeMS,1017:Embargos À Execução Em Mandado De Segurança
12555,Impugnação À Composição De Junta Eleitoral,ICJE,12555:Impugnação À Composição De Junta Eleitoral
1733,Procedimento Investigatório Criminal (Pic-Mp) ,PICMP,1733:Procedimento Investigatório Criminal (Pic-Mp) 
11794,Restituição De Coisas Apreendidas Infracional,ReCoApInfr,11794:Restituição De Coisas Apreendidas Infracional
204,Agravo De Instrumento Em Recurso Extraordinário,AIRE,204:Agravo De Instrumento Em Recurso Extraordinário
88,Correição Parcial Ou Reclamação Correicional,CorPar,88:Correição Parcial Ou Reclamação Correicional
12085,Incidente De Resolução De Demandas Repetitivas,IRDR,12085:Incidente De Resolução De Demandas Repetitivas
10967,Medidas Protetivas - Estatuto Do Idoso Criminal ,MedProtEICrim,10967:Medidas Protetivas - Estatuto Do Idoso Criminal 
1294,Outros Procedimentos De Jurisdição Voluntária,OPJV,1294:Outros Procedimentos De Jurisdição Voluntária
144,Suspensão De Liminar Ou Antecipação De Tutela,SLAT,144:Suspensão De Liminar Ou Antecipação De Tutela
12120,Agravo Em Execução De Medidas Sócio-Educativas,AgExMSo,12120:Agravo Em Execução De Medidas Sócio-Educativas
10976,Exceção De Incompetência Infância E Juventude,ExcIncIJ,10976:Exceção De Incompetência Infância E Juventude
12077,Homologação Em Acordo De Colaboração Premiada,HomoAcColPrem,12077:Homologação Em Acordo De Colaboração Premiada
152,Liquidação De Sentença Pelo Procedimento Comum,LiqProcedCom,152:Liquidação De Sentença Pelo Procedimento Comum
155,Procedimento De Cumprimento De Sentença/Decisão,MPCA,155:Procedimento De Cumprimento De Sentença/Decisão
